County_and_Quarter,X,County.x,Quarter,Petition_for_Modification,FTA_Warrant,Prison,Probation,Straight_1170h,Split_1170h,Probation_Petition,MS_Petition,PRCS_Petition,Parole_Petition,County.y,Name,Decarceratory,Did_Incumbent_Seek_Reelection,If_Sought_Did_Incumbent_Win,Contested,Election_Year,Notes...election.years...2014..2018..2022.with.New.DA.coming.in.Q1.after..,Total_Sentences,Percentage_Prison,Percentage_Probation,Percentage_Split,Percentage_Straight
Alpine_ 2022 Q1 Court,78,Alpine, 2022 Q1 Court,1,1,0,1,0,0,0,0,0,0,Alpine,Michael Atwell,0,0,NA,0,0,,1,0,100,0,0
Alpine_ 2022 Q2 Court,79,Alpine, 2022 Q2 Court,3,0,0,0,0,0,2,0,0,0,Alpine,Michael Atwell,0,0,NA,0,0,,0,NA,NA,NA,NA
Alpine_ 2022 Q3 Court,80,Alpine, 2022 Q3 Court,6,0,0,0,0,0,3,0,0,2,Alpine,Michael Atwell,0,0,NA,0,1,,0,NA,NA,NA,NA
Alpine_ 2022 Q4 Court,81,Alpine, 2022 Q4 Court,2,0,0,0,0,0,0,0,0,0,Alpine,Michael Atwell,0,0,NA,0,1,,0,NA,NA,NA,NA
Alpine_ 2023 Q1 Court,82,Alpine, 2023 Q1 Court,1,0,0,0,1,0,2,0,0,0,Alpine,Robert Priscaro,0,1,1,0,0,,1,0,0,0,100
Amador_ 2013 Q1 Court,83,Amador, 2013 Q1 Court,107,NA,16,36,8,NA,NA,1,4,NA,Amador,Todd Riebe,1,1,1,0,0,,NA,NA,NA,NA,NA
Amador_ 2013 Q2 Court,84,Amador, 2013 Q2 Court,158,20,33,25,3,3,55,1,3,0,Amador,Todd Riebe,1,1,1,0,0,,64,51.5625,39.0625,4.6875,4.6875
Amador_ 2013 Q3 Court,85,Amador, 2013 Q3 Court,145,36,20,32,3,0,49,10,2,1,Amador,Todd Riebe,1,1,1,0,0,,55,36.36363636,58.18181818,0,5.454545455
Amador_ 2013 Q4 Court,86,Amador, 2013 Q4 Court,133,45,33,43,8,0,51,3,3,5,Amador,Todd Riebe,1,1,1,0,0,,84,39.28571429,51.19047619,0,9.523809524
Amador_ 2014 Q1 Court,87,Amador, 2014 Q1 Court,138,47,17,32,5,0,113,0,2,2,Amador,Todd Riebe,1,1,1,0,0,,54,31.48148148,59.25925926,0,9.259259259
